"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Tecnica natación -> TEST","Swim","200 S 150 K 100 P Ejercicios grabar: * Grabar ejercicios frontal y lateralmente a poder ser desde fuera y dentro del agua. * Descansos entre series son completos (tanto como necesites para máxima calidad). 2 x 50m K w/KB 2 x 50m FS w/S 2 x 50m FS w/PB 2 x 50m FS ¿Sabes realizar virajes? Si es un sí, graba un viraje lateral para ver entrada, salida y subacuático. 200 CH","","1050","2025-04-01","","600","","",""," *04/01/2025 David Sabat: Ahora adjunto los vídeos. 250m de kickboard que no se han grabado en el garmin. No he hecho los 200 de cool down. Se han enfadado en la piscina por grabar ahora adjunto los vídeos! Mañana después del correr vendré a estirar 1000m me he ido con mala sensaciones después de la disputa que he tenido por grabar…*","0.203595279057821","0.81190798376184","","25","","89","121","","","0.736755786745921","8.14","12","0","0","0","0","0","0","","","","","","","","","","","","","","2","5"
"FUERZA","Strength","KISS (Keep it super simple) :D BOX SQUAT: 3 x 10-15r lightweight PUSH UPS: 3 x 10-15r SUBIDA A CAJÓN: 3 x 10-15 PULL UPS/LAT PULL DOWN: 3 x 10-15 CORE: 10-15min","0.666666666666667","","2025-04-01","Vamos a llevar a cabo un approach más sencillo si cabe con la fuerza, más en línea con mi forma de entender la fuerza.","0","","",""," *04/01/2025 David Sabat: 💪👍🏽 CORE: Circuito 3x -Kettlebell -Crunch -Plancha -Kettlebell R + 3x oblicuos*","0.692640244960785","0","","","","82","126","","","0.553180550884561","23.27","42","0","0","0","0","0","0","","","","","","","","","","","","","","3","5"
"1h D1","Run","Sin pasar de 5:20/km","1","11067","2025-04-02","","11214.2900390625","311","465","1122.462"," *04/02/2025 David Sabat: Isquio algo cargado. Al principio he empezado con algo de desnivel por orografía del terreno. Buen entreno, nada que comentar👍🏽*","1.001873254776","3.10899996757507","","160","","148","167","","","1.29785003966853","167.58","4","32","4","20","0","0","0","","","","0","0","0","1","28","31","","","","","3",""
"Lap Swimming","Swim","","","","2025-04-02","","1200","","",""," *04/02/2025 David Sabat: Entreno hecho tras ayer no poder completar lo pedido porque nos tiraron fuera de la piscina por grabar 🥲 -1000wu, ritmo muy tranquilo estirando y intentando mejorar entrada mano izquierda (un punto bastante débil que noto que tengo de entre tantos) -4x50m (Snorkel, Aletas, Pull, Aletas) -Con el snorkel noto que el rolido lo exagero demasiado e intento concentrarme en apretar abdominal y no mover mucho caderas además muevo inconscientemente la cabeza, la entrada de la mano izquierda va mejorando!) -Aletas respirando por lado malo (izquierdo). Mejorando respecto a nadar con pull ya que puedo concentrarme mejor en el guiado de la mano hacia un punto más central y no me desvío del eje longitudinal del cuerpo. -Pull respirando por lado malo (izquierdo) Noto que a la que me desconcentro de la técnica el brazo izquierdo en la entrada del agua lo desvío de la línea de mi cuero lo que me hace desestabilizarme por completo y irme en dirección no deseada. Piernas las sigo abriendo pero intento concentrarme en estirar más, apretar abdominal y controlar el rolido para no desestabilizarme. Ya que creo que la consecuencia de abrir piernas es la desestabilización consecuente de estirar de no manera correcta, de tener los hombros en tensión y no dejarlos fluir (nadar con hombros algo más) y de mover las caderas que viene a consecuencia yo creo de no apretar lo suficiente el abdominal. quizás la cabeza también tenga un papel importante en esto. seguimos con ello! Nacho si necesitas más vídeos házmelo saber, porque ayer intenté hacer lo que pude… Pero ya sabes cómo son los gimnasios y cuando alguien te dice que no hagas algo y le debates acabas perdiendo 😂💪*","0.423706945843167","0.785854616895874","","25","","122","143","","","0.70803654021533","15.04","25","1","0","0","0","0","0","","","","","","","","","","","","","","2","5"
"8 x 50m TEST (Glyc.Cap)","Swim","200 S 150 K 100 P 8 x 50 FS D: 1' Comentarios: Tan rápido como puedas, necesito que me des tiempos de cada 50m, si puedes que alguien los tome mejor, así tenemos tiempos a la décima de segundo. 4 x 100 D: 30'' Impar: FS/P Par: BA 200 CH","","1450","2025-04-03","","1200","","",""," *04/03/2025 David Sabat: Condenado a la técnica (Así llamaré a mi entreno) -No creo que haga falta más explicación la técnica me tiene condenado a la muerte, por mucho esfuerzo que haga y fuerza que aplique al aplicarla de manera incorrecta no mejora en absoluto la relación fatiga vs fuerza. Sin duda algo triste pero contento al ver que hay mucho margen de mejora y con Nacho haremos buen trabajo. Ultimas 2 series mejora han costado ya que veía como mi energía se agotaba y el ácido se empezaba a acomular en mi dorsal. A seguir dándole y mejorar técnica.* *04/03/2025 David Sabat: Al llegar a casa adjunto tiempos reales no los del garmin.*","0.401309446228875","0.825309491059147","","25","","123","152","","","0.747552799514477","16.77","21","3","0","0","0","0","0","","","","","","","","","","","","","","4",""
"30-40' AR + 4 x progresivos","Run","","0.705555555555556","","2025-04-03","","7583.5400390625","297","485","752.856"," *04/03/2025 David Sabat: buen entreno después de nadar modo transición el calentamiento sí que notado fatigado en el isquio y en el cuádriceps pero creo que es de la carga que llevamos semanalmente y además que el domingo hice una media maratón de montaña y voy algo fatigado. durante las series me he sentido bien lo que la primera ha sido un poco catástrofe, ya que nunca había usado el auto lap y 20 segundos es un poco complicado regular el ritmo. La próxima vez mejoraré, empezaré quizás tres segundos antes para poder cuadrar el ritmo bien. tema ritmos bajos y consumo comentar*","0.704123079776764","2.99200010299683","","160","","151","183","","","1.23981565239542","107.13","3","19","7","10","1","2","1","","","","0","0","0","6","17","19","","","","","4","5"
"1km variado","Swim","5x200m D: 30-45'' 1. FS 2. 50 FS + 50 K manos flecha 3. 2x50 BA + 50 BR 4. HP + PB 5. FS Respirando c/2,4,6,2 brazadas (cambio cada 50m)","","1000","2025-04-04","","1000","","",""," *04/04/2025 David Sabat: Gracias Nacho por hacer la natación que se me pase volando, me encanta ir variando de ritmos, ejercicios, accesorios, estilos. Me noto mejorando y además tengo ganas de ir a nadar 💪🤣!!! Seguir mejorando todo lo mencionado estos días. Añado que cuando respiro por el lado izquierdo la mano derecha empiezo la remada subacuática mucho antes haciendo en parte que pierda estabilización y necesite ayuda de los pies para compensar.*","0.337813611560398","0.815660685154976","","24","","117","152","","","0.740053069043674","13.69","19","2","0","0","0","0","0","","","","","","","","","","","","","","4","5"
"4 x 6' LT1","Run","","0.944444444444444","","2025-04-04","","10032.26953125","278","478","944.554"," *04/04/2025 David Sabat: Bien. Me he liado un poco con el auto-lap, pero ya lo he entendido. 😊*","0.944682478904724","2.95000004768372","","150","","148","173","","","1.23872174076381","143.61","9","18","15","13","1","0","0","","","","6","0","0","3","18","28","","","","","3","5"
"Aerobic.profile EVAL","Bike","Calentamiento en ligera progresión TEST 4min: Esfuerzo máximo, intentar mantener ritmo constante, sin reventar. 90-110rpm TEST 20min: Mantener ritmo constante. 90-110rpm.","1.28333333333333","","2025-04-05","","33028.328125","178","634","823.502"," *04/05/2025 David Sabat: PESO PRE TEST 63.1KG Sensación; Voy algo cargado y me marca bajo en forma el training peaks aun así voy a cargar ahora carbos y saldré!!!* *04/05/2025 David Sabat: Verás Nacho que el lap que tú programaste no es el del ftp, ya que justo cuando me iba a saltar he tenido que parar entrneno porque venía bajada y no quería empezar el test en bajada y perdiendo wattios. Contento, creo que he perdido wattios por tener que frenar en alguna curva y por alguna bajada*","1.28386747837067","7.14599990844727","","81","","142","177","","","0.872936586776704","97.16","38","10","3","5","16","5","0","","","","24","19","9","13","8","5","","","","","5","5"
"3h AR","Bike","100-125bpm","3","","2025-04-06","","90010.5703125","154","569","1940.422","","3.49534344673157","7.15299987792969","","84","","142","172","","","0.718548370393938","178.88","68","80","31","30","0","0","0","","","","63","78","45","18","4","2","","","","","2","5"
